risk_factor,mechanism,possible_dampener
heroic_globalism,Virtue is treated as flawless cross-situational consistency,Use situated reliability and repeated-measures models
radical_situationism,Context is treated as eliminating character,Model person effects habit identity and resistance patterns
moral_overconfidence,People overestimate how well they will act under pressure,Precommitment scripts rehearsal and humility practices
authority_pressure,Hierarchy suppresses dissent and moral courage,Protected escalation refusal rights and leadership accountability
responsibility_diffusion,Shared roles make no one feel accountable,Responsibility mapping and end-to-end ownership
time_pressure,Hurry narrows attention and reduces helping or reflection,Decision pauses workload design and ethical review points
depletion,Fatigue stress and overload weaken self-regulation,Rest staffing sustainable workload and shared care
low_voice_safety,Fear of retaliation suppresses truth-telling,Whistleblower protection psychological safety and correction norms
hidden_harm,Distance and abstraction hide affected persons,Human impact visibility testimony and consequence tracking
virtue_branding,Character language becomes self-image rather than conduct,Evidence accountability repair and cost-bearing action
