risk_factor,mechanism,possible_dampener
judgment_reductionism,Morality is reduced to what people endorse verbally,Study motivation action follow-through and repair
verbal_endorsement_bias,Moral talk is mistaken for moral reliability,Test conduct under cost ambiguity and pressure
situational_pressure,Social or institutional pressure blocks action,Protect dissent clarify responsibility and reduce retaliation risk
rationalization_drift,The self redescribes failure as acceptable,Use motive checks affected-person perspective and accountability
emotion_misdirection,Emotion motivates action but in distorted or disproportionate ways,Interpret and regulate guilt shame anger compassion and disgust
identity_defensiveness,Moral self-image protects itself against evidence of failure,Build humility and repair identity
moral_licensing,Past good conduct licenses present laxity,Reject moral credit logic and evaluate present responsibility
fatigue_erosion,Depletion weakens action despite judgment,Protect rest workload pacing and decision bandwidth
institutional_hypocrisy,Institutions state values while rewarding contrary behavior,Align incentives metrics and accountability with stated values
repair_avoidance,Shame or fear blocks apology correction and restitution,Use concrete repair routines and follow-through mechanisms
