risk_factor,mechanism,possible_dampener
wrongness_blame_collapse,Wrongness blame sanction and repair are treated as one undifferentiated response,Model each judgment layer separately
intention_overconfidence,Observers infer motive too quickly from identity outcome or group narrative,Require evidence alternatives and humility around intention
outcome_neglect,Good intentions are used to ignore actual harm,Model harm and repair even when intention is low
punitive_overreach,Judgment becomes humiliation or punishment without proportion,Include dignity preservation repair opportunity and proportionality
moral_evasion,Complexity or neutrality is used to avoid clear harm,Distinguish genuine ambiguity from avoidance
selective_outage,Judgment is stronger for outsiders than allies,Compare standards across group boundaries
digital_acceleration,Public judgment circulates before facts context or intention are clear,Slow judgment verify evidence and preserve dignity
institutional_reputation_protection,Institutions frame judgment around liability and image control,Separate truth-seeking repair and public relations
dehumanization,Wrongdoers or victims are treated as less than fully human,Preserve dignity while maintaining accountability
repair_absence,Condemnation substitutes for material change,Connect judgment to apology restitution redesign protection and follow-up
