component,variable,description,interpretive_warning
case,case_id,Synthetic case identifier,Not real personal data
judgment,perceived_harm,Synthetic recognition of injury suffering degradation burden or loss,Not a real harm assessment
judgment,norm_violation,Synthetic perceived violation of a duty rule standard or expectation,Not a real norm assessment
judgment,inferred_intention,Synthetic judgment about motive purpose foresight or negligence,Not a real intention assessment
judgment,emotional_activation,Synthetic affective intensity shaping salience and condemnation,Not a real emotion assessment
judgment,ideological_framing,Synthetic cultural ideological or political interpretation,Not a real ideology assessment
judgment,group_framing,Synthetic group-based interpretive frame,Not a real group-identity measure
judgment,social_pressure,Synthetic pressure from audience group norm platform or public context,Not a real social-pressure measure
judgment,situational_ambiguity,Synthetic uncertainty role conflict or contextual complexity,Not a real ambiguity score
wrongness,latent_wrongness,Synthetic latent wrongness severity,Not a real moral truth score
wrongness,wrongness_rating,Synthetic wrongness rating from 1 to 7,Not a real assessment of conduct
wrongness,judged_wrong,Synthetic binary classification of wrongness,Not a real judgment classifier
blame,perceived_agency,Synthetic perceived control knowledge capacity and alternatives,Not a real agency assessment
blame,repair_opportunity,Synthetic availability of apology restitution excuse correction or repair,Not a real repair assessment
blame,latent_blame,Synthetic latent blame severity,Not a real blame score
blame,blame_rating,Synthetic blame rating from 1 to 7,Not a real moral-worth score
response,dignity_preservation,Synthetic dignity-preserving response condition,Not a real dignity assessment
response,punitive_pressure,Synthetic pressure toward punishment humiliation or sanction,Not a real risk assessment
response,institutional_support,Synthetic support for reporting repair protection or accountability,Not an institutional audit
response,constructive_response_score,Synthetic constructive response score,Not a real behavior prediction
response,constructive_response,Synthetic binary constructive response indicator,Not a real intervention recommendation
case_type,high_pressure_high_judgment,Synthetic high-pressure high-judgment case,Not a real-person classification
case_type,low_repair_high_blame,Synthetic low-repair high-blame case,Not a real-person classification
case_type,wrongness_blame_divergence,Synthetic wrongness-blame divergence case,Not a real-person classification
