risk_factor,mechanism,possible_dampener
single_cause_history,The field is described as if one explanatory mode replaces all others,Represent history as layered and cumulative
presentism,Contemporary methods are treated as inherently superior to older frameworks,Show what earlier traditions still explain
method_reductionism,Experimental or neuroscientific methods are treated as the whole field,Connect lab evidence to development culture institutions and action
philosophy_reductionism,The field is treated as only a history of philosophical ideas,Include empirical psychology social research and institutions
stage_reductionism,Developmental history is reduced to Kohlbergian stage theory,Include Piaget Gilligan social domain theory and contemporary development
intuition_reductionism,Moral judgment is reduced to rapid intuition and post hoc reasoning,Include reflection development culture and institutional context
culture_blindness,Moral psychology is presented as culturally neutral,Include pluralism politics religion marginalized voices and historical power
institutional_blindness,Moral agency is treated as purely individual,Model institutions organizations platforms bureaucracy and accountability systems
bibliometric_overclaim,Synthetic weights are mistaken for measured publication counts,Label data as conceptual demonstration only
author_canon_overfocus,History centers only famous canonical thinkers,Use canonical figures while widening to care culture power and institutions
