risk_factor,mechanism,possible_dampener
intuition_reductionism,Moral evaluation is reduced to immediate gut response,Model reflective evaluation and revision explicitly
reflection_reductionism,Moral evaluation is reduced to explicit reasoning,Model intuitive appraisal salience affect and social influence
post_hoc_rationalization,Reasons defend a fixed judgment instead of testing it,Require counterevidence revision criteria and affected-person perspective
moral_dumbfounding,Certainty remains high while reasons collapse,Separate judgment strength from justification quality
group_identity_capture,Group pressure makes preferred judgments feel obvious,Include dissent cross-group evidence and humility checks
disgust_driven_judgment,Emotion becomes self-validating moral certainty,Test whether the reaction tracks harm dignity and proportionality
procedural_evasion,Reflection or review delays responsibility and repair,Use transparent timelines interim care and repair pathways
abstraction_without_care,Principled reasoning detaches from lived consequences,Reconnect reflection to affected persons and material outcomes
digital_speed_pressure,Public attention rewards immediate reaction over careful judgment,Slow judgment verify evidence and preserve dignity
institutional_image_protection,Review protects reputation rather than truth,Separate truth-seeking from public relations and liability control
