risk_factor,mechanism,possible_dampener
salience_reductionism,Moral judgment is studied without asking what became visible first,Model attention and salience upstream of judgment
procedural_narrowing,Process displaces persons and human consequences,Trace lived effects behind categories and workflows
organized_inattention,Institutions make harms difficult to see report or name,Create reporting channels consequence reviews and affected-person testimony
attentional_competition,Metrics deadlines threat or distraction crowd out vulnerability,Protect time attention and escalation pathways
mind_perception_failure,People are reduced to cases categories costs or risks,Restore narrative personhood and affected-person voice
selective_empathy,Only familiar vivid or in-group suffering becomes salient,Use historical analysis testimony and institutional equity review
digital_attention_distortion,Viral outrage crowds out slow structural or chronic harm,Build durable attention practices beyond feed-driven reaction
role_blindness,Professional role scripts hide dignity power or harm,Use role reflection and cross-functional review
privilege_invisibility,Protected observers fail to notice burdens faced by others,Use access audits lived evidence and humility about field of view
motivated_not_seeing,Seeing would create guilt conflict sacrifice or loss of innocence,Build accountability around avoidance and the costs of seeing
