risk_factor,mechanism,possible_dampener
prosocial_reductionism,All beneficial action is treated as one psychological mechanism,Distinguish helping altruistic motive cooperation sacrifice and care
motive_purity_error,Mixed motives are treated as moral failure,Assess whether other-oriented concern is genuinely present and causally important
empathy_action_gap,Empathic concern fails to become action under cost ambiguity or diffusion,Clarify responsibility reduce cost and create feasible response channels
selective_empathy,Concern favors familiar visible or similar others,Widen moral recognition through testimony contact and justice norms
reputation_performance,Helping becomes image management,Test action under low visibility and recipient-centered conditions
reciprocity_exclusion,Support is limited to those who can repay,Include dependence vulnerability and nonreciprocal care obligations
care_burnout,Repeated need and weak support exhaust caregiving persistence,Provide rest staffing shared responsibility and institutional support
institutional_hypocrisy,Institutions praise care while denying conditions for care,Align workload metrics resources incentives and accountability
care_domination,Helping overrides recipient agency or dignity,Use consent participation listening and respect for agency
responsibility_diffusion,Everyone assumes someone else will help,Clarify ownership roles escalation and follow-up
