risk_factor,mechanism,possible_dampener
stage_reductionism,Moral development is reduced to one universal ladder,Model multiple moral dimensions and domain differentiation
justice_only_bias,Care relationship and dependency are undervalued,Include care reasoning relational orientation and vulnerability
verbal_reasoning_bias,Articulated justification is mistaken for moral maturity,Separate reasoning language from action emotion and care
cultural_bias,Western liberal abstraction is treated as universal maturity,Include cultural context and affected community perspectives
authority_neutrality_error,Authority is treated as developmentally neutral despite unequal power,Model authority orientation and institutional experience critically
reasoning_action_gap,Sophisticated reasoning fails to become conduct,Add moral identity emotion courage and situational pressure in extensions
domain_overgeneralization,Moral conventional personal and prudential rules are collapsed,Model domain differentiation explicitly
school_compliance_error,Moral education becomes obedience training,Include dialogue care peer cooperation restorative practice and student voice
marginalized_voice_exclusion,Developmental theory ignores how marginalized children experience rules and institutions,Include power history dignity and lived evidence
measurement_overconfidence,Synthetic or coded stages are treated as real moral worth,Use outputs only for demonstration and never as personal assessment
