risk_factor,mechanism,possible_dampener
emotion_reductionism,Distinct moral emotions are collapsed into one moral intensity variable,Model guilt shame disgust compassion and elevation separately
guilt_shame_confusion,Guilt and shame are treated as the same feeling,Distinguish act-focused responsibility from global self-condemnation
misplaced_guilt,Responsibility is felt where agency was limited or absent,Clarify actual responsibility and available repair
humiliating_shame,Exposure becomes total self-condemnation or social destruction,Preserve dignity while naming responsibility
dehumanizing_disgust,People or groups are treated as contaminating or less than human,Recenter dignity evidence and concrete harm
selective_compassion,Concern flows only toward familiar favored or visible groups,Use institutions and testimony to widen moral attention
compassion_fatigue,Repeated suffering exposure overwhelms care capacity,Support caregivers and distribute responsibility
hero_worship,Elevation idealizes the exemplar and replaces practice,Translate admiration into concrete habits and accountability
outrage_addiction,Anger disgust and shame become rewarding in themselves,Slow judgment and require proportional action
institutional_emotion_capture,Organizations or media manipulate emotion for power attention or image,Audit emotional climates incentives and accountability pathways
symbolic_emotion,Feeling substitutes for material repair or care,Require action restitution resource commitment and follow-through
