scenario,description,expected_pattern
baseline,Average appraisals emotions support and response pathways,Moderate synthetic helping repair and avoidance tendencies
high_wrongdoing_high_responsibility,High perceived wrongdoing and specific responsibility,Higher guilt and repair tendency
high_self_condemnation_high_exposure,High global self-condemnation and exposure,Higher shame and possible avoidance
high_violation_high_boundary_threat,High perceived violation and boundary threat,Higher disgust and avoidance tendency
high_suffering_high_mind_perception,High perceived suffering and mind perception,Higher compassion and helping tendency
high_exemplar_high_excellence,High admired moral action and perceived excellence,Higher elevation and prosocial aspiration
high_guilt_high_repair,High guilt with agency and repair pathway,Higher repair tendency
high_shame_high_disgust,High shame and disgust,Higher avoidance or punitive response risk
high_compassion_high_elevation,High compassion and elevation,Higher helping and prosocial imitation
institutional_shame_climate,Institution amplifies shame without repair pathways,Hiding defensiveness and avoidance become more likely
institutional_compassion_climate,Institution sustains compassion with resources and support,Care and helping become more sustainable
institutional_disgust_climate,Institution or public culture amplifies disgust toward people or groups,Dehumanization exclusion and punitive moralism risk increases
