component,variable,description,interpretive_warning
conscience,conscience_conflict,Conflict between personal or professional moral standards and required action,Not a diagnosis or individual trait score
betrayal,institutional_betrayal,Perceived betrayal by authority leadership peers or institution,Must be interpreted in institutional context
distribution,distributed_responsibility,Fragmentation of agency and accountability across roles and procedures,Does not mean responsibility disappears
exposure,morally_injurious_exposure,Exposure to morally injurious events conditions or recurring institutional harm,Exposure is synthetic and not clinical evidence
scarcity,scarcity_constraint,Resource or staffing constraint that prevents morally adequate action,Scarcity may be produced by policy or governance choices
accountability,accountability_clarity,Clarity of agency escalation authority and responsibility,High clarity may reduce ambiguity and moral burden
opacity,organizational_opacity,Unclear decision pathways rules or causal chains,Opacity can intensify many-hands conditions
voice,protected_voice,Protected capacity to raise ethical concerns without retaliation,Voice must be institutionally credible to matter
repair,repair_capacity,Ability of the institution to acknowledge harm and change conditions,Repair requires more than individual resilience
injury,moral_injury_risk,Synthetic risk value representing modeled moral injury pressure,Not a real-person clinical or occupational assessment
