risk_factor,mechanism,possible_dampener
conscience_reductionism,Conscience is treated as a single inner voice,Model conscience as differentiated self-evaluation
guilt_shame_confusion,Guilt and shame are collapsed into one moral pain,Distinguish act-focused guilt from self-focused shame
global_self_condemnation,Wrongdoing becomes total self-condemnation,Separate action responsibility identity and possibility of repair
scrupulosity,Excessive guilt or shame attaches to trivial or impossible standards,Use proportionality evidence trusted counsel and compassionate reality testing
moral_numbness,Serious harm produces little self-evaluative response,Restore consequence visibility affected-person testimony and accountability
rationalization,The self redescribes harm as necessary normal or deserved,Ask who benefits from the description and who is harmed by it
institutional_shame_culture,Exposure is punished more than harm is repaired,Create fair credible repair-oriented accountability systems
defensiveness,Threat to self-image blocks truth and repair,Build humility accountability and repair pathways
symbolic_remorse,Emotion substitutes for changed conduct,Require restitution changed behavior and follow-through
repair_pathway_absence,People cannot see a survivable way to repair,Create clear confession restitution and correction processes
