risk_factor,mechanism,possible_dampener
willpower_reductionism,Moral failure is reduced to private lack of will,Model judgment intention temptation fatigue habit identity and institution together
temptation_narrowing,Immediate reward narrows moral attention,Use delay friction reminders and consequence visibility
fatigue_erosion,Depletion weakens intention maintenance and inhibition,Protect rest workload pacing and decision bandwidth
rationalization_drift,The self redescribes wrongdoing as acceptable,Use motive checks affected-person perspective and accountability
identity_defensiveness,Moral self-image resists evidence of failure,Build humility confession and repair routines
social_pressure,Group approval makes self-betrayal feel prudent,Use dissent scripts allies and voice safety
institutional_incentives,Systems reward shortcuts silence or image protection,Align incentives metrics and accountability with ethical conduct
repair_avoidance,Shame or fear blocks apology and correction,Use concrete repair deadlines restitution and learning loops
intention_decay,Good intentions weaken before action,Use implementation intentions reminders and immediate follow-through
emotion_override,Anger fear shame or resentment overwhelms restraint,Use pause rules emotion labeling and proportionality checks
