risk_factor,mechanism,possible_dampener
moral_identity_reductionism,Moral identity is treated as a single virtue score,Distinguish internalization symbolization narrative integration action and repair
symbolization_performance,Public moral display replaces concrete responsibility,Test low-visibility action and recipient-centered conduct
identity_defensiveness,Moral self-image resists evidence of wrongdoing,Build humility accountability and repair practices
moral_licensing,Prior good conduct excuses present harm,Evaluate each action by consequence responsibility and repair
group_righteousness,Collective identity protects a moral narrative over truth,Protect dissent public memory and affected-person testimony
role_moral_blindness,Professional or institutional role identity excuses harm,Keep role morality answerable to broader ethical standards
shame_collapse,Failure becomes self-annihilation rather than responsibility,Convert guilt into accountable action and repair
identity_action_gap,Strong moral identity fails under pressure or weak regulation,Use self-regulation practice role clarity and accountability supports
exclusionary_identity,Moral identity is built through contempt for outsiders,Test identity through outgroup dignity and power awareness
institutional_hypocrisy,Institutions display values while rewarding contrary conduct,Align incentives workload recognition and accountability with integrity
